Номер основной БС	Номер 6x
CH0001	CH4602
CH0002	CH4674
CH0004	CH4700
CH0005	CH4372
CH0009	CH4523
CH0010	CH4725
CH0011	CH4605
CH0014	CH4604
CH0015	CH4701
CH0017	CH4690
CH0018	CH4726
CH0020	CH4727
CH0022	CH4583
CH0025	CH4526
CH0026	CH4409
CH0028	CH4475
CH0030	CH4609
CH0031	CH4598
CH0032	CH4728
CH0033	CH4418
CH0034	CH4773
CH0035	CH4545
CH0036	CH4514
CH0038	CH4421
CH0039	CH4613
CH0040	CH4401
CH0042	CH4565
CH0043	CH4702
CH0044	CH4524
CH0045	CH4419
CH0046	CH4766
CH0048	CH4423
CH0049	CH4688
CH0050	CH4510
CH0051	CH4511
CH0052	CH4703
CH0053	CH4704
CH0055	CH4402
CH0056	CH4962
CH0057	CH4527
CH0061	CH4771
CH0062	CH4557
CH0064	CH4729
CH0065	CH4474
CH0067	CH4578
CH0068	CH4904
CH0069	CH4620
CH0070	CH4787
CH0071	CH4963
CH0074	CH4153
CH0075	CH4693
CH0076	CH4759
CH0077	CH4905
CH0078	CH4422
CH0080	CH4403
CH0081	CH4440
CH0082	CH4622
CH0084	CH4621
CH0085	CH4546
CH0087	CH4539
CH0088	CH4547
CH0090	CH4599
CH0091	CH4476
CH0092	CH4509
CH0094	CH4540
CH0096	CH4197
CH0097	CH4441
CH0098	CH4906
CH0100	CH4964
CH0106	CH4907
CH0108	CH4307
CH0109	CH4663
CH0110	CH4623
CH0111	CH4627
CH0114	CH4662
CH0115	CH4558
CH0116	CH4590
CH0122	CH4760
CH0127	CH4566
CH0141	CH4442
CH0142	CH4691
CH0143	CH4624
CH0144	CH4575
CH0145	CH4173
CH0146	CH4625
CH0147	CH4630
CH0148	CH4626
CH0150	CH4559
CH0151	CH4324
CH0152	CH4586
CH0154	CH4580
CH0155	CH4909
CH0156	CH4424
CH0157	CH4785
CH0158	CH4731
CH0159	CH4560
CH0160	CH4302
CH0161	CH4770
CH0162	CH4628
CH0165	CH4420
CH0166	CH4528
CH0173	CH4910
CH0174	CH4275
CH0176	CH4915
CH0177	CH4965
CH0178	CH4477
CH0181	CH4266
CH0191	CH4916
CH0193	CH4504
CH0196	CH4629
CH0197	CH4705
CH0198	CH4529
CH0199	CH4768
CH0200	CH4072
CH0201	CH4433
CH0202	CH4706
CH0203	CH4632
CH0204	CH4513
CH0207	CH4633
CH0208	CH4634
CH0209	CH4404
CH0211	CH4515
CH0212	CH4637
CH0213	CH4373
CH0214	CH4405
CH0215	CH4631
CH0216	CH4638
CH0218	CH4732
CH0219	CH4664
CH0220	CH4639
CH0221	CH4774
CH0222	CH4306
CH0224	CH4775
CH0233	CH4676
CH0236	CH4561
CH0237	CH4966
CH0239	CH4733
CH0240	CH4917
CH0241	CH4595
CH0243	CH4918
CH0245	CH4406
CH0246	CH4562
CH0247	CH4684
CH0248	CH4462
CH0250	CH4635
CH0255	CH4919
CH0256	CH4497
CH0257	CH4636
CH0259	CH4677
CH0260	CH4500
CH0261	CH4443
CH0262	CH4516
CH0263	CH4707
CH0264	CH4776
CH0265	CH4967
CH0270	CH4685
CH0271	CH4444
CH0272	CH4665
CH0274	CH4640
CH0275	CH4642
CH0276	CH4666
CH0277	CH4425
CH0278	CH4645
CH0279	CH4708
CH0280	CH4668
CH0281	CH4492
CH0282	CH4478
CH0283	CH4641
CH0284	CH4479
CH0286	CH4480
CH0287	CH4581
CH0288	CH4496
CH0290	CH4517
CH0291	CH4190
CH0291	CH4192
CH0291	CH4194
CH0291	CH4196
CH0291	CH4508
CH0293	CH4594
CH0294	CH4761
CH0296	CH4643
CH0299	CH4337
CH0300	CH4563
CH0301	CH4686
CH0303	CH4694
CH0304	CH4644
CH0307	CH4577
CH0308	CH4541
CH0309	CH4777
CH0310	CH4920
CH0311	CH4921
CH0313	CH4969
CH0316	CH4970
CH0319	CH4481
CH0320	CH4564
CH0321	CH4164
CH0323	CH4445
CH0325	CH4556
CH0327	CH4482
CH0328	CH4579
CH0329	CH4219
CH0330	CH4697
CH0331	CH4689
CH0332	CH4646
CH0335	CH4426
CH0337	CH4669
CH0338	CH4582
CH0339	CH4550
CH0341	CH4780
CH0343	CH4647
CH0346	CH4709
CH0347	CH4501
CH0348	CH4427
CH0350	CH4971
CH0351	CH4428
CH0352	CH4518
CH0354	CH4166
CH0358	CH4972
CH0360	CH4356
CH0362	CH4648
CH0365	CH4591
CH0367	CH4736
CH0368	CH4649
CH0369	CH4737
CH0370	CH4738
CH0375	CH4922
CH0377	CH4316
CH0378	CH4923
CH0381	CH4698
CH0382	CH4429
CH0383	CH4430
CH0385	CH4361
CH0386	CH4739
CH0387	CH4614
CH0388	CH4217
CH0398	CH4924
CH0399	CH4323
CH0400	CH4973
CH0406	CH4925
CH0407	CH4974
CH0408	CH4446
CH0413	CH4512
CH0414	CH4431
CH0416	CH4650
CH0419	CH4483
CH0420	CH4310
CH0426	CH4592
CH0427	CH4588
CH0436	CH4447
CH0437	CH4762
CH0439	CH4603
CH0441	CH4465
CH0447	CH4976
CH0448	CH4926
CH0449	CH4121
CH0450	CH4432
CH0451	CH4448
CH0453	CH4977
CH0455	CH4434
CH0456	CH4710
CH0457	CH4699
CH0476	CH4927
CH0485	CH4928
CH0486	CH4740
CH0489	CH4929
CH0492	CH4484
CH0494	CH4179
CH0495	CH4505
CH0496	CH4930
CH0497	CH4741
CH0498	CH4228
CH0500	CH4931
CH0501	CH4784
CH0502	CH4180
CH0503	CH4407
CH0504	CH4743
CH0505	CH4932
CH0508	CH4329
CH0510	CH4189
CH0513	CH4712
CH0515	CH4567
CH0517	CH4713
CH0518	CH4334
CH0519	CH4569
CH0521	CH4542
CH0524	CH4225
CH0528	CH4979
CH0529	CH4786
CH0531	CH4530
CH0533	CH4933
CH0534	CH4182
CH0536	CH4934
CH0540	CH4589
CH0541	CH4652
CH0542	CH4935
CH0545	CH4149
CH0548	CH4493
CH0549	CH4936
CH0550	CH4937
CH0553	CH4181
CH0556	CH4463
CH0557	CH4191
CH0558	CH4980
CH0560	CH4615
CH0561	CH4653
CH0563	CH4601
CH0565	CH4600
CH0569	CH4568
CH0571	CH4449
CH0575	CH4744
CH0576	CH4344
CH0580	CH4654
CH0585	CH4938
CH0592	CH4670
CH0593	CH4667
CH0594	CH4273
CH0595	CH4714
CH0597	CH4745
CH0599	CH4195
CH0601	CH4170
CH0602	CH4224
CH0603	CH4655
CH0606	CH4695
CH0614	CH4982
CH0615	CH4235
CH0620	CH4551
CH0621	CH4485
CH0624	CH4464
CH0625	CH4939
CH0628	CH4940
CH0630	CH4983
CH0631	CH4656
CH0641	CH4494
CH0644	CH4495
CH0658	CH4941
CH0662	CH4942
CH0665	CH4984
CH0667	CH4435
CH0670	CH4657
CH0671	CH4498
CH0674	CH4658
CH0677	CH4746
CH0681	CH4450
CH0684	CH4587
CH0686	CH4671
CH0689	CH4747
CH0698	CH4675
CH0699	CH4410
CH0703	CH4985
CH0704	CH4451
CH0705	CH4986
CH0706	CH4570
CH0707	CH4305
CH0723	CH4763
CH0742	CH4278
CH0745	CH4987
CH0748	CH4531
CH0750	CH4486
CH0752	CH4390
CH0753	CH4408
CH0755	CH4616
CH0757	CH4452
CH0763	CH4988
CH0764	CH4411
CH0776	CH4943
CH0824	CH4584
CH0825	CH4748
CH0826	CH4525
CH0830	CH4499
CH0831	CH4778
CH0832	CH4678
CH0834	CH4989
CH0835	CH4571
CH0836	CH4659
CH0837	CH4681
CH0847	CH4944
CH0848	CH4769
CH0850	CH4651
CH0853	CH4945
CH0860	CH4990
CH0866	CH4946
CH0867	CH4617
CH0870	CH4143
CH0873	CH4991
CH0876	CH4487
CH0877	CH4293
CH0878	CH4679
CH0884	CH4519
CH0892	CH4992
CH0893	CH4749
CH0895	CH4388
CH0958	CH4535
CH0965	CH4318
CH1002	CH4468
CH1006	CH4993
CH1011	CH4750
CH1012	CH4229
CH1015	CH4187
CH1018	CH4994
CH1022	CH4382
CH1026	CH4232
CH1027	CH4947
CH1035	CH4130
CH1040	CH4169
CH1041	CH4576
CH1043	CH4788
CH1044	CH4995
CH1046	CH4167
CH1048	CH4339
CH1049	CH4134
CH1055	CH4606
CH1060	CH4272
CH1061	CH4412
CH1066	CH4488
CH1067	CH4715
CH1071	CH4436
CH1077	CH4948
CH1078	CH4198
CH1081	CH4585
CH1085	CH4199
CH1090	CH4413
CH1091	CH4453
CH1092	CH4362
CH1097	CH4267
CH1105	CH4271
CH1106	CH4536
CH1129	CH4391
CH1136	CH4532
CH1139	CH4533
CH1141	CH4216
CH1142	CH4258
CH1151	CH4417
CH1157	CH4438
CH1201	CH4230
CH1203	CH4341
CH1262	CH4537
CH1263	CH4454
CH1264	CH4949
CH1265	CH4415
CH1330	CH4165
CH2001	CH4717
CH2009	CH4502
CH2010	CH4687
CH2012	CH4996
CH2013	CH4291
CH2015	CH4596
CH2017	CH4520
CH2018	CH4792
CH2020	CH4416
CH2022	CH4950
CH2023	CH4472
CH2024	CH4437
CH2026	CH4751
CH2027	CH4455
CH2028	CH4456
CH2029	CH4696
CH2030	CH4543
CH2034	CH4781
CH2039	CH4618
CH2041	CH4597
CH2043	CH4752
CH2045	CH4672
CH2048	CH4753
CH2053	CH4997
CH2054	CH4998
CH2055	CH4256
CH2056	CH4552
CH2057	CH4457
CH2058	CH4754
CH2059	CH4673
CH2065	CH4471
CH2072	CH4466
CH2079	CH4795
CH2094	CH5004
CH2095	CH4458
CH2096	CH4680
CH2097	CH4572
CH2114	CH5005
CH2121	CH4553
CH2125	CH4521
CH2128	CH4554
CH2133	CH4951
CH2136	CH4692
CH2141	CH4720
CH2144	CH4467
CH2149	CH4161
CH2152	CH4660
CH2153	CH5040
CH2154	CH4722
CH2161	CH5050
CH2171	CH4507
CH2176	CH4682
CH2178	CH4573
CH2179	CH4797
CH2182	CH4952
CH2185	CH4683
CH2189	CH4767
CH2192	CH5060
CH2193	CH4755
CH2196	CH4723
CH2197	CH4489
CH2202	CH4953
CH2204	CH4954
CH2206	CH4574
CH2216	CH4661
CH2222	CH4756
CH2233	CH5000
CH2234	CH4619
CH2236	CH4538
CH2250	CH4978
CH2253	CH4764
CH2257	CH4534
CH2266	CH4975
CH2273	CH4385
CH2275	CH4955
CH2312	CH4140
CH2313	CH4304
CH2315	CH4459
CH2316	CH4757
CH2317	CH4490
CH2323	CH4548
CH2328	CH4956
CH2330	CH4503
CH2332	CH4159
CH2347	CH4549
CH2358	CH4506
CH2365	CH4137
CH2376	CH4544
CH2378	CH4724
CH2380	CH4439
CH2391	CH4154
CH2392	CH5392
CH2393	CH4593
CH2395	CH4957
CH2405	CH4473
CH2409	CH4800
CH2422	CH4469
CH2442	CH4555
CH2458	CH4231
CH2461	CH4491
